INFO - main.py - 2026-01-07 18:37:34,897 - Using device: cuda
INFO - main.py - 2026-01-07 18:37:34,900 - Writing log file to run/logs/CIFAR10
INFO - main.py - 2026-01-07 18:37:34,900 - Exp instance id = 20827
INFO - main.py - 2026-01-07 18:37:34,900 - Exp comment = 
INFO - main.py - 2026-01-07 18:37:34,900 - Config =
INFO - anneal_runner.py - 2026-01-07 18:37:38,569 - step: 1, loss: 498.5291442871094
INFO - anneal_runner.py - 2026-01-07 18:37:39,066 - step: 2, loss: 580.474609375
INFO - anneal_runner.py - 2026-01-07 18:37:39,577 - step: 3, loss: 515.84423828125
INFO - anneal_runner.py - 2026-01-07 18:37:40,080 - step: 4, loss: 350.8339538574219
INFO - anneal_runner.py - 2026-01-07 18:37:40,591 - step: 5, loss: 316.3224792480469
INFO - anneal_runner.py - 2026-01-07 18:37:41,096 - step: 6, loss: 314.23895263671875
INFO - anneal_runner.py - 2026-01-07 18:37:41,602 - step: 7, loss: 317.3621520996094
INFO - anneal_runner.py - 2026-01-07 18:37:42,107 - step: 8, loss: 303.7633056640625
INFO - anneal_runner.py - 2026-01-07 18:37:42,617 - step: 9, loss: 281.37152099609375
INFO - anneal_runner.py - 2026-01-07 18:37:43,127 - step: 10, loss: 284.46368408203125
INFO - anneal_runner.py - 2026-01-07 18:37:43,638 - step: 11, loss: 290.4726867675781
INFO - anneal_runner.py - 2026-01-07 18:37:44,153 - step: 12, loss: 268.0151672363281
INFO - anneal_runner.py - 2026-01-07 18:37:44,670 - step: 13, loss: 266.80865478515625
INFO - anneal_runner.py - 2026-01-07 18:37:45,182 - step: 14, loss: 268.6278381347656
INFO - anneal_runner.py - 2026-01-07 18:37:45,688 - step: 15, loss: 268.484375
INFO - anneal_runner.py - 2026-01-07 18:37:46,199 - step: 16, loss: 264.8531188964844
INFO - anneal_runner.py - 2026-01-07 18:37:46,706 - step: 17, loss: 255.56146240234375
INFO - anneal_runner.py - 2026-01-07 18:37:47,217 - step: 18, loss: 270.58355712890625
INFO - anneal_runner.py - 2026-01-07 18:37:47,726 - step: 19, loss: 254.91140747070312
INFO - anneal_runner.py - 2026-01-07 18:37:48,238 - step: 20, loss: 264.71038818359375
INFO - anneal_runner.py - 2026-01-07 18:37:48,747 - step: 21, loss: 268.3211364746094
INFO - anneal_runner.py - 2026-01-07 18:37:49,259 - step: 22, loss: 259.6263427734375
INFO - anneal_runner.py - 2026-01-07 18:37:49,771 - step: 23, loss: 265.34954833984375
INFO - anneal_runner.py - 2026-01-07 18:37:50,283 - step: 24, loss: 252.84738159179688
INFO - anneal_runner.py - 2026-01-07 18:37:50,795 - step: 25, loss: 268.50616455078125
INFO - anneal_runner.py - 2026-01-07 18:37:51,305 - step: 26, loss: 273.3969421386719
INFO - anneal_runner.py - 2026-01-07 18:37:51,816 - step: 27, loss: 261.5799560546875
INFO - anneal_runner.py - 2026-01-07 18:37:52,328 - step: 28, loss: 247.52099609375
INFO - anneal_runner.py - 2026-01-07 18:37:52,839 - step: 29, loss: 252.78346252441406
INFO - anneal_runner.py - 2026-01-07 18:37:53,352 - step: 30, loss: 242.57254028320312
INFO - anneal_runner.py - 2026-01-07 18:37:53,864 - step: 31, loss: 233.46939086914062
INFO - anneal_runner.py - 2026-01-07 18:37:54,377 - step: 32, loss: 240.3118896484375
INFO - anneal_runner.py - 2026-01-07 18:37:54,890 - step: 33, loss: 232.4754638671875
INFO - anneal_runner.py - 2026-01-07 18:37:55,411 - step: 34, loss: 217.55130004882812
INFO - anneal_runner.py - 2026-01-07 18:37:55,931 - step: 35, loss: 239.70587158203125
INFO - anneal_runner.py - 2026-01-07 18:37:56,451 - step: 36, loss: 220.45106506347656
INFO - anneal_runner.py - 2026-01-07 18:37:56,965 - step: 37, loss: 256.975830078125
INFO - anneal_runner.py - 2026-01-07 18:37:57,487 - step: 38, loss: 239.64707946777344
INFO - anneal_runner.py - 2026-01-07 18:37:58,004 - step: 39, loss: 225.37295532226562
INFO - anneal_runner.py - 2026-01-07 18:37:58,519 - step: 40, loss: 240.58462524414062
INFO - anneal_runner.py - 2026-01-07 18:37:59,036 - step: 41, loss: 229.52267456054688
INFO - anneal_runner.py - 2026-01-07 18:37:59,551 - step: 42, loss: 225.97335815429688
INFO - anneal_runner.py - 2026-01-07 18:38:00,067 - step: 43, loss: 214.85206604003906
INFO - anneal_runner.py - 2026-01-07 18:38:00,584 - step: 44, loss: 220.7864532470703
INFO - anneal_runner.py - 2026-01-07 18:38:01,102 - step: 45, loss: 186.82733154296875
INFO - anneal_runner.py - 2026-01-07 18:38:01,619 - step: 46, loss: 222.6122283935547
INFO - anneal_runner.py - 2026-01-07 18:38:02,137 - step: 47, loss: 212.02413940429688
INFO - anneal_runner.py - 2026-01-07 18:38:02,655 - step: 48, loss: 222.04556274414062
INFO - anneal_runner.py - 2026-01-07 18:38:03,178 - step: 49, loss: 204.4724884033203
INFO - anneal_runner.py - 2026-01-07 18:38:03,697 - step: 50, loss: 189.85476684570312
INFO - anneal_runner.py - 2026-01-07 18:38:04,217 - step: 51, loss: 195.40106201171875
INFO - anneal_runner.py - 2026-01-07 18:38:04,734 - step: 52, loss: 208.76251220703125
INFO - anneal_runner.py - 2026-01-07 18:38:05,254 - step: 53, loss: 188.28347778320312
INFO - anneal_runner.py - 2026-01-07 18:38:05,774 - step: 54, loss: 192.33169555664062
INFO - anneal_runner.py - 2026-01-07 18:38:06,293 - step: 55, loss: 195.89675903320312
INFO - anneal_runner.py - 2026-01-07 18:38:06,813 - step: 56, loss: 204.41973876953125
INFO - anneal_runner.py - 2026-01-07 18:38:07,336 - step: 57, loss: 199.1605224609375
INFO - anneal_runner.py - 2026-01-07 18:38:07,862 - step: 58, loss: 211.9329376220703
INFO - anneal_runner.py - 2026-01-07 18:38:08,390 - step: 59, loss: 207.13633728027344
INFO - anneal_runner.py - 2026-01-07 18:38:08,917 - step: 60, loss: 191.60464477539062
INFO - anneal_runner.py - 2026-01-07 18:38:09,441 - step: 61, loss: 199.18316650390625
INFO - anneal_runner.py - 2026-01-07 18:38:09,964 - step: 62, loss: 195.3665771484375
INFO - anneal_runner.py - 2026-01-07 18:38:10,487 - step: 63, loss: 202.6067352294922
INFO - anneal_runner.py - 2026-01-07 18:38:11,012 - step: 64, loss: 177.5794677734375
INFO - anneal_runner.py - 2026-01-07 18:38:11,531 - step: 65, loss: 195.53585815429688
INFO - anneal_runner.py - 2026-01-07 18:38:12,054 - step: 66, loss: 188.343994140625
INFO - anneal_runner.py - 2026-01-07 18:38:12,575 - step: 67, loss: 204.13462829589844
INFO - anneal_runner.py - 2026-01-07 18:38:13,100 - step: 68, loss: 188.996337890625
INFO - anneal_runner.py - 2026-01-07 18:38:13,625 - step: 69, loss: 178.49319458007812
INFO - anneal_runner.py - 2026-01-07 18:38:14,151 - step: 70, loss: 187.60740661621094
INFO - anneal_runner.py - 2026-01-07 18:38:14,676 - step: 71, loss: 206.85231018066406
INFO - anneal_runner.py - 2026-01-07 18:38:15,201 - step: 72, loss: 192.3394775390625
INFO - anneal_runner.py - 2026-01-07 18:38:15,725 - step: 73, loss: 195.8150634765625
INFO - anneal_runner.py - 2026-01-07 18:38:16,250 - step: 74, loss: 177.0709991455078
INFO - anneal_runner.py - 2026-01-07 18:38:16,775 - step: 75, loss: 174.5745849609375
INFO - anneal_runner.py - 2026-01-07 18:38:17,299 - step: 76, loss: 199.42196655273438
INFO - anneal_runner.py - 2026-01-07 18:38:17,824 - step: 77, loss: 198.87423706054688
INFO - anneal_runner.py - 2026-01-07 18:38:18,351 - step: 78, loss: 170.70095825195312
INFO - anneal_runner.py - 2026-01-07 18:38:18,876 - step: 79, loss: 193.99676513671875
INFO - anneal_runner.py - 2026-01-07 18:38:19,401 - step: 80, loss: 170.54580688476562
INFO - anneal_runner.py - 2026-01-07 18:38:19,928 - step: 81, loss: 166.3219757080078
INFO - anneal_runner.py - 2026-01-07 18:38:20,460 - step: 82, loss: 168.02178955078125
INFO - anneal_runner.py - 2026-01-07 18:38:20,988 - step: 83, loss: 179.38134765625
INFO - anneal_runner.py - 2026-01-07 18:38:21,514 - step: 84, loss: 169.27474975585938
INFO - anneal_runner.py - 2026-01-07 18:38:22,049 - step: 85, loss: 184.25360107421875
INFO - anneal_runner.py - 2026-01-07 18:38:22,576 - step: 86, loss: 164.42897033691406
INFO - anneal_runner.py - 2026-01-07 18:38:23,103 - step: 87, loss: 187.98069763183594
INFO - anneal_runner.py - 2026-01-07 18:38:23,631 - step: 88, loss: 164.99496459960938
INFO - anneal_runner.py - 2026-01-07 18:38:24,160 - step: 89, loss: 179.626953125
INFO - anneal_runner.py - 2026-01-07 18:38:24,689 - step: 90, loss: 174.1163330078125
INFO - anneal_runner.py - 2026-01-07 18:38:25,217 - step: 91, loss: 168.11288452148438
INFO - anneal_runner.py - 2026-01-07 18:38:25,747 - step: 92, loss: 166.43154907226562
INFO - anneal_runner.py - 2026-01-07 18:38:26,278 - step: 93, loss: 169.16940307617188
INFO - anneal_runner.py - 2026-01-07 18:38:26,807 - step: 94, loss: 183.18360900878906
INFO - anneal_runner.py - 2026-01-07 18:38:27,337 - step: 95, loss: 145.8405303955078
INFO - anneal_runner.py - 2026-01-07 18:38:27,868 - step: 96, loss: 173.9442138671875
INFO - anneal_runner.py - 2026-01-07 18:38:28,396 - step: 97, loss: 191.39590454101562
INFO - anneal_runner.py - 2026-01-07 18:38:28,929 - step: 98, loss: 170.44729614257812
INFO - anneal_runner.py - 2026-01-07 18:38:29,460 - step: 99, loss: 148.13897705078125
INFO - anneal_runner.py - 2026-01-07 18:38:29,992 - step: 100, loss: 170.81161499023438
INFO - anneal_runner.py - 2026-01-07 18:38:30,737 - step: 101, loss: 170.6368408203125
INFO - anneal_runner.py - 2026-01-07 18:38:31,269 - step: 102, loss: 195.958984375
INFO - anneal_runner.py - 2026-01-07 18:38:31,803 - step: 103, loss: 170.1851043701172
INFO - anneal_runner.py - 2026-01-07 18:38:32,339 - step: 104, loss: 167.92141723632812
INFO - anneal_runner.py - 2026-01-07 18:38:32,876 - step: 105, loss: 141.86386108398438
INFO - anneal_runner.py - 2026-01-07 18:38:33,414 - step: 106, loss: 166.44786071777344
