INFO - main.py - 2026-01-04 15:08:59,199 - Using device: cuda
INFO - main.py - 2026-01-04 15:08:59,202 - Writing log file to run/logs/MNIST
INFO - main.py - 2026-01-04 15:08:59,202 - Exp instance id = 2655
INFO - main.py - 2026-01-04 15:08:59,202 - Exp comment = 
INFO - main.py - 2026-01-04 15:08:59,202 - Config =
INFO - anneal_runner.py - 2026-01-04 15:09:03,902 - step: 1, loss: 498.5290832519531
INFO - anneal_runner.py - 2026-01-04 15:09:04,427 - step: 2, loss: 580.4745483398438
INFO - anneal_runner.py - 2026-01-04 15:09:04,968 - step: 3, loss: 515.84423828125
INFO - anneal_runner.py - 2026-01-04 15:09:05,495 - step: 4, loss: 350.83392333984375
INFO - anneal_runner.py - 2026-01-04 15:09:06,035 - step: 5, loss: 316.32244873046875
INFO - anneal_runner.py - 2026-01-04 15:09:06,569 - step: 6, loss: 314.23895263671875
INFO - anneal_runner.py - 2026-01-04 15:09:07,104 - step: 7, loss: 317.36212158203125
INFO - anneal_runner.py - 2026-01-04 15:09:07,642 - step: 8, loss: 303.7633056640625
INFO - anneal_runner.py - 2026-01-04 15:09:08,181 - step: 9, loss: 281.37152099609375
INFO - anneal_runner.py - 2026-01-04 15:09:08,713 - step: 10, loss: 284.46368408203125
INFO - anneal_runner.py - 2026-01-04 15:09:09,245 - step: 11, loss: 290.4726867675781
INFO - anneal_runner.py - 2026-01-04 15:09:09,782 - step: 12, loss: 268.0151672363281
INFO - anneal_runner.py - 2026-01-04 15:09:10,318 - step: 13, loss: 266.80865478515625
INFO - anneal_runner.py - 2026-01-04 15:09:10,853 - step: 14, loss: 268.6278381347656
INFO - anneal_runner.py - 2026-01-04 15:09:11,389 - step: 15, loss: 268.484375
INFO - anneal_runner.py - 2026-01-04 15:09:11,925 - step: 16, loss: 264.8530578613281
INFO - anneal_runner.py - 2026-01-04 15:09:12,457 - step: 17, loss: 255.5614471435547
INFO - anneal_runner.py - 2026-01-04 15:09:12,999 - step: 18, loss: 270.5836181640625
INFO - anneal_runner.py - 2026-01-04 15:09:13,535 - step: 19, loss: 254.9114532470703
INFO - anneal_runner.py - 2026-01-04 15:09:14,072 - step: 20, loss: 264.71044921875
INFO - anneal_runner.py - 2026-01-04 15:09:14,608 - step: 21, loss: 268.3211364746094
INFO - anneal_runner.py - 2026-01-04 15:09:15,144 - step: 22, loss: 259.62646484375
INFO - anneal_runner.py - 2026-01-04 15:09:15,682 - step: 23, loss: 265.34954833984375
INFO - anneal_runner.py - 2026-01-04 15:09:16,219 - step: 24, loss: 252.84742736816406
INFO - anneal_runner.py - 2026-01-04 15:09:16,755 - step: 25, loss: 268.5062255859375
INFO - anneal_runner.py - 2026-01-04 15:09:17,294 - step: 26, loss: 273.39703369140625
INFO - anneal_runner.py - 2026-01-04 15:09:17,832 - step: 27, loss: 261.5800476074219
INFO - anneal_runner.py - 2026-01-04 15:09:18,371 - step: 28, loss: 247.52108764648438
INFO - anneal_runner.py - 2026-01-04 15:09:18,914 - step: 29, loss: 252.78347778320312
INFO - anneal_runner.py - 2026-01-04 15:09:19,457 - step: 30, loss: 242.57257080078125
INFO - anneal_runner.py - 2026-01-04 15:09:19,996 - step: 31, loss: 233.46896362304688
INFO - anneal_runner.py - 2026-01-04 15:09:20,541 - step: 32, loss: 240.3118896484375
INFO - anneal_runner.py - 2026-01-04 15:09:21,083 - step: 33, loss: 232.4752960205078
INFO - anneal_runner.py - 2026-01-04 15:09:21,623 - step: 34, loss: 217.55111694335938
INFO - anneal_runner.py - 2026-01-04 15:09:22,164 - step: 35, loss: 239.70590209960938
INFO - anneal_runner.py - 2026-01-04 15:09:22,705 - step: 36, loss: 220.4509735107422
INFO - anneal_runner.py - 2026-01-04 15:09:23,244 - step: 37, loss: 256.9761047363281
INFO - anneal_runner.py - 2026-01-04 15:09:23,786 - step: 38, loss: 239.64727783203125
INFO - anneal_runner.py - 2026-01-04 15:09:24,328 - step: 39, loss: 225.37322998046875
INFO - anneal_runner.py - 2026-01-04 15:09:24,871 - step: 40, loss: 240.58502197265625
INFO - anneal_runner.py - 2026-01-04 15:09:25,412 - step: 41, loss: 229.52264404296875
INFO - anneal_runner.py - 2026-01-04 15:09:25,954 - step: 42, loss: 225.97372436523438
