INFO - main.py - 2026-01-06 14:14:15,280 - Using device: cuda
INFO - main.py - 2026-01-06 14:14:15,281 - Writing log file to MNIST/1/logs/0
INFO - main.py - 2026-01-06 14:14:15,281 - Exp instance id = 7678
INFO - main.py - 2026-01-06 14:14:15,281 - Exp comment = 
INFO - main.py - 2026-01-06 14:14:15,281 - Config =
INFO - baseline_runner.py - 2026-01-06 14:14:26,758 - step: 1, loss: 3903062.25
INFO - baseline_runner.py - 2026-01-06 14:14:27,250 - step: 2, loss: 3893133.0
INFO - baseline_runner.py - 2026-01-06 14:14:27,755 - step: 3, loss: 3933145.75
INFO - baseline_runner.py - 2026-01-06 14:14:28,252 - step: 4, loss: 3905248.5
INFO - baseline_runner.py - 2026-01-06 14:14:28,753 - step: 5, loss: 3865374.75
INFO - baseline_runner.py - 2026-01-06 14:14:29,248 - step: 6, loss: 3837407.0
INFO - baseline_runner.py - 2026-01-06 14:14:29,746 - step: 7, loss: 3825923.25
INFO - baseline_runner.py - 2026-01-06 14:14:30,244 - step: 8, loss: 3811825.5
INFO - baseline_runner.py - 2026-01-06 14:14:30,744 - step: 9, loss: 3793973.25
INFO - baseline_runner.py - 2026-01-06 14:14:31,246 - step: 10, loss: 3737916.5
INFO - baseline_runner.py - 2026-01-06 14:14:31,746 - step: 11, loss: 3717903.0
INFO - baseline_runner.py - 2026-01-06 14:14:32,244 - step: 12, loss: 3727385.5
INFO - baseline_runner.py - 2026-01-06 14:14:32,745 - step: 13, loss: 3747911.0
INFO - baseline_runner.py - 2026-01-06 14:14:33,245 - step: 14, loss: 3723874.5
INFO - baseline_runner.py - 2026-01-06 14:14:33,746 - step: 15, loss: 3690291.5
INFO - baseline_runner.py - 2026-01-06 14:14:34,247 - step: 16, loss: 3679406.25
INFO - baseline_runner.py - 2026-01-06 14:14:34,747 - step: 17, loss: 3668973.0
INFO - baseline_runner.py - 2026-01-06 14:14:35,248 - step: 18, loss: 3639388.5
INFO - baseline_runner.py - 2026-01-06 14:14:35,749 - step: 19, loss: 3620700.5
INFO - baseline_runner.py - 2026-01-06 14:14:36,251 - step: 20, loss: 3629028.75
INFO - baseline_runner.py - 2026-01-06 14:14:36,755 - step: 21, loss: 3608797.0
INFO - baseline_runner.py - 2026-01-06 14:14:37,257 - step: 22, loss: 3594568.5
INFO - baseline_runner.py - 2026-01-06 14:14:37,759 - step: 23, loss: 3580974.5
INFO - baseline_runner.py - 2026-01-06 14:14:38,265 - step: 24, loss: 3548221.25
INFO - baseline_runner.py - 2026-01-06 14:14:38,778 - step: 25, loss: 3565348.0
INFO - baseline_runner.py - 2026-01-06 14:14:39,289 - step: 26, loss: 3548697.5
INFO - baseline_runner.py - 2026-01-06 14:14:39,796 - step: 27, loss: 3553145.5
INFO - baseline_runner.py - 2026-01-06 14:14:40,297 - step: 28, loss: 3515313.75
INFO - baseline_runner.py - 2026-01-06 14:14:40,802 - step: 29, loss: 3526936.25
INFO - baseline_runner.py - 2026-01-06 14:14:41,301 - step: 30, loss: 3536872.5
INFO - baseline_runner.py - 2026-01-06 14:14:41,804 - step: 31, loss: 3486854.5
INFO - baseline_runner.py - 2026-01-06 14:14:42,312 - step: 32, loss: 3490026.0
INFO - baseline_runner.py - 2026-01-06 14:14:42,819 - step: 33, loss: 3438231.5
INFO - baseline_runner.py - 2026-01-06 14:14:43,323 - step: 34, loss: 3480429.25
INFO - baseline_runner.py - 2026-01-06 14:14:43,831 - step: 35, loss: 3459622.0
INFO - baseline_runner.py - 2026-01-06 14:14:44,336 - step: 36, loss: 3410079.5
INFO - baseline_runner.py - 2026-01-06 14:14:44,844 - step: 37, loss: 3430302.75
INFO - baseline_runner.py - 2026-01-06 14:14:45,348 - step: 38, loss: 3408527.0
INFO - baseline_runner.py - 2026-01-06 14:14:45,856 - step: 39, loss: 3423038.5
INFO - baseline_runner.py - 2026-01-06 14:14:46,360 - step: 40, loss: 3399191.5
INFO - baseline_runner.py - 2026-01-06 14:14:46,868 - step: 41, loss: 3374202.5
INFO - baseline_runner.py - 2026-01-06 14:14:47,373 - step: 42, loss: 3364375.25
INFO - baseline_runner.py - 2026-01-06 14:14:47,881 - step: 43, loss: 3338132.25
INFO - baseline_runner.py - 2026-01-06 14:14:48,387 - step: 44, loss: 3333037.0
INFO - baseline_runner.py - 2026-01-06 14:14:48,893 - step: 45, loss: 3295327.75
INFO - baseline_runner.py - 2026-01-06 14:14:49,400 - step: 46, loss: 3313873.0
INFO - baseline_runner.py - 2026-01-06 14:14:49,907 - step: 47, loss: 3313495.0
INFO - baseline_runner.py - 2026-01-06 14:14:50,415 - step: 48, loss: 3288189.75
INFO - baseline_runner.py - 2026-01-06 14:14:50,922 - step: 49, loss: 3294470.5
