INFO - main.py - 2026-01-11 22:45:45,131 - Using device: cuda
INFO - main.py - 2026-01-11 22:45:45,134 - Writing log file to run/logs/MNIST
INFO - main.py - 2026-01-11 22:45:45,134 - Exp instance id = 3992
INFO - main.py - 2026-01-11 22:45:45,135 - Exp comment = 
INFO - main.py - 2026-01-11 22:45:45,135 - Config =
INFO - anneal_runner.py - 2026-01-11 22:45:49,670 - step: 1, loss: 498.5290832519531
INFO - anneal_runner.py - 2026-01-11 22:45:50,196 - step: 2, loss: 580.474609375
INFO - anneal_runner.py - 2026-01-11 22:45:50,726 - step: 3, loss: 515.84423828125
INFO - anneal_runner.py - 2026-01-11 22:45:51,251 - step: 4, loss: 350.83392333984375
INFO - anneal_runner.py - 2026-01-11 22:45:51,778 - step: 5, loss: 316.3224182128906
INFO - anneal_runner.py - 2026-01-11 22:45:52,308 - step: 6, loss: 314.23895263671875
INFO - anneal_runner.py - 2026-01-11 22:45:52,836 - step: 7, loss: 317.36212158203125
INFO - anneal_runner.py - 2026-01-11 22:45:53,362 - step: 8, loss: 303.7633056640625
INFO - anneal_runner.py - 2026-01-11 22:45:53,891 - step: 9, loss: 281.37152099609375
INFO - anneal_runner.py - 2026-01-11 22:45:54,422 - step: 10, loss: 284.46368408203125
INFO - anneal_runner.py - 2026-01-11 22:45:54,951 - step: 11, loss: 290.4726867675781
INFO - anneal_runner.py - 2026-01-11 22:45:55,480 - step: 12, loss: 268.0151672363281
INFO - anneal_runner.py - 2026-01-11 22:45:56,008 - step: 13, loss: 266.80865478515625
INFO - anneal_runner.py - 2026-01-11 22:45:56,538 - step: 14, loss: 268.6278381347656
INFO - anneal_runner.py - 2026-01-11 22:45:57,064 - step: 15, loss: 268.4843444824219
INFO - anneal_runner.py - 2026-01-11 22:45:57,595 - step: 16, loss: 264.8530578613281
INFO - anneal_runner.py - 2026-01-11 22:45:58,123 - step: 17, loss: 255.56146240234375
INFO - anneal_runner.py - 2026-01-11 22:45:58,654 - step: 18, loss: 270.5836181640625
INFO - anneal_runner.py - 2026-01-11 22:45:59,183 - step: 19, loss: 254.91143798828125
INFO - anneal_runner.py - 2026-01-11 22:45:59,719 - step: 20, loss: 264.71044921875
INFO - anneal_runner.py - 2026-01-11 22:46:00,254 - step: 21, loss: 268.32110595703125
INFO - anneal_runner.py - 2026-01-11 22:46:00,792 - step: 22, loss: 259.62646484375
INFO - anneal_runner.py - 2026-01-11 22:46:01,329 - step: 23, loss: 265.34954833984375
INFO - anneal_runner.py - 2026-01-11 22:46:01,861 - step: 24, loss: 252.84738159179688
INFO - anneal_runner.py - 2026-01-11 22:46:02,394 - step: 25, loss: 268.5062255859375
INFO - anneal_runner.py - 2026-01-11 22:46:02,925 - step: 26, loss: 273.39703369140625
