INFO - main.py - 2025-12-31 10:32:49,418 - Using device: cuda
INFO - main.py - 2025-12-31 10:32:49,420 - Writing log file to run/logs/cifar10
INFO - main.py - 2025-12-31 10:32:49,420 - Exp instance id = 8520
INFO - main.py - 2025-12-31 10:32:49,420 - Exp comment = 
INFO - main.py - 2025-12-31 10:32:49,420 - Config =
INFO - anneal_runner.py - 2025-12-31 10:32:54,027 - step: 1, loss: 498.52911376953125
INFO - anneal_runner.py - 2025-12-31 10:32:54,527 - step: 2, loss: 580.4745483398438
INFO - anneal_runner.py - 2025-12-31 10:32:55,031 - step: 3, loss: 515.84423828125
INFO - anneal_runner.py - 2025-12-31 10:32:55,530 - step: 4, loss: 350.833984375
INFO - anneal_runner.py - 2025-12-31 10:32:56,034 - step: 5, loss: 316.3224792480469
INFO - anneal_runner.py - 2025-12-31 10:32:56,536 - step: 6, loss: 314.2389831542969
INFO - anneal_runner.py - 2025-12-31 10:32:57,039 - step: 7, loss: 317.3621826171875
INFO - anneal_runner.py - 2025-12-31 10:32:57,539 - step: 8, loss: 303.7633056640625
INFO - anneal_runner.py - 2025-12-31 10:32:58,043 - step: 9, loss: 281.37152099609375
INFO - anneal_runner.py - 2025-12-31 10:32:58,546 - step: 10, loss: 284.46368408203125
INFO - anneal_runner.py - 2025-12-31 10:32:59,049 - step: 11, loss: 290.4726867675781
INFO - anneal_runner.py - 2025-12-31 10:32:59,557 - step: 12, loss: 268.0151672363281
INFO - anneal_runner.py - 2025-12-31 10:33:00,064 - step: 13, loss: 266.80865478515625
INFO - anneal_runner.py - 2025-12-31 10:33:00,568 - step: 14, loss: 268.6278381347656
INFO - anneal_runner.py - 2025-12-31 10:33:01,072 - step: 15, loss: 268.484375
INFO - anneal_runner.py - 2025-12-31 10:33:01,577 - step: 16, loss: 264.8531188964844
INFO - anneal_runner.py - 2025-12-31 10:33:02,087 - step: 17, loss: 255.56146240234375
INFO - anneal_runner.py - 2025-12-31 10:33:02,596 - step: 18, loss: 270.58355712890625
INFO - anneal_runner.py - 2025-12-31 10:33:03,108 - step: 19, loss: 254.91136169433594
INFO - anneal_runner.py - 2025-12-31 10:33:03,619 - step: 20, loss: 264.71038818359375
INFO - anneal_runner.py - 2025-12-31 10:33:04,125 - step: 21, loss: 268.32110595703125
INFO - anneal_runner.py - 2025-12-31 10:33:04,630 - step: 22, loss: 259.62628173828125
INFO - anneal_runner.py - 2025-12-31 10:33:05,136 - step: 23, loss: 265.3495178222656
INFO - anneal_runner.py - 2025-12-31 10:33:05,642 - step: 24, loss: 252.8473358154297
INFO - anneal_runner.py - 2025-12-31 10:33:06,150 - step: 25, loss: 268.50616455078125
INFO - anneal_runner.py - 2025-12-31 10:33:06,656 - step: 26, loss: 273.3968811035156
INFO - anneal_runner.py - 2025-12-31 10:33:07,161 - step: 27, loss: 261.57989501953125
INFO - anneal_runner.py - 2025-12-31 10:33:07,668 - step: 28, loss: 247.52093505859375
INFO - anneal_runner.py - 2025-12-31 10:33:08,177 - step: 29, loss: 252.78341674804688
INFO - anneal_runner.py - 2025-12-31 10:33:08,684 - step: 30, loss: 242.57261657714844
INFO - anneal_runner.py - 2025-12-31 10:33:09,191 - step: 31, loss: 233.4700927734375
INFO - anneal_runner.py - 2025-12-31 10:33:09,698 - step: 32, loss: 240.3116455078125
INFO - anneal_runner.py - 2025-12-31 10:33:10,205 - step: 33, loss: 232.47576904296875
INFO - anneal_runner.py - 2025-12-31 10:33:10,711 - step: 34, loss: 217.5523681640625
INFO - anneal_runner.py - 2025-12-31 10:33:11,218 - step: 35, loss: 239.7069091796875
INFO - anneal_runner.py - 2025-12-31 10:33:11,727 - step: 36, loss: 220.4513397216797
INFO - anneal_runner.py - 2025-12-31 10:33:12,237 - step: 37, loss: 256.9774169921875
INFO - anneal_runner.py - 2025-12-31 10:33:12,748 - step: 38, loss: 239.6483917236328
INFO - anneal_runner.py - 2025-12-31 10:33:13,256 - step: 39, loss: 225.37493896484375
INFO - anneal_runner.py - 2025-12-31 10:33:13,765 - step: 40, loss: 240.58485412597656
INFO - anneal_runner.py - 2025-12-31 10:33:14,276 - step: 41, loss: 229.5244140625
INFO - anneal_runner.py - 2025-12-31 10:33:14,792 - step: 42, loss: 225.9756622314453
INFO - anneal_runner.py - 2025-12-31 10:33:15,306 - step: 43, loss: 214.85211181640625
INFO - anneal_runner.py - 2025-12-31 10:33:15,820 - step: 44, loss: 220.79052734375
INFO - anneal_runner.py - 2025-12-31 10:33:16,329 - step: 45, loss: 186.828369140625
INFO - anneal_runner.py - 2025-12-31 10:33:16,841 - step: 46, loss: 222.61532592773438
INFO - anneal_runner.py - 2025-12-31 10:33:17,350 - step: 47, loss: 212.02642822265625
