INFO - main.py - 2025-12-27 21:07:39,297 - Using device: cuda
INFO - main.py - 2025-12-27 21:07:39,301 - Writing log file to run/logs/cifar10
INFO - main.py - 2025-12-27 21:07:39,301 - Exp instance id = 1362
INFO - main.py - 2025-12-27 21:07:39,301 - Exp comment = 
INFO - main.py - 2025-12-27 21:07:39,301 - Config =
INFO - anneal_runner.py - 2025-12-27 21:07:52,629 - step: 1, loss: 498.5291442871094
INFO - anneal_runner.py - 2025-12-27 21:07:53,138 - step: 2, loss: 580.4745483398438
INFO - anneal_runner.py - 2025-12-27 21:07:53,653 - step: 3, loss: 515.84423828125
INFO - anneal_runner.py - 2025-12-27 21:07:54,160 - step: 4, loss: 350.83392333984375
INFO - anneal_runner.py - 2025-12-27 21:07:54,677 - step: 5, loss: 316.32244873046875
INFO - anneal_runner.py - 2025-12-27 21:07:55,186 - step: 6, loss: 314.23895263671875
INFO - anneal_runner.py - 2025-12-27 21:07:55,700 - step: 7, loss: 317.3621520996094
INFO - anneal_runner.py - 2025-12-27 21:07:56,210 - step: 8, loss: 303.7633056640625
INFO - anneal_runner.py - 2025-12-27 21:07:56,723 - step: 9, loss: 281.37152099609375
INFO - anneal_runner.py - 2025-12-27 21:07:57,236 - step: 10, loss: 284.46368408203125
INFO - anneal_runner.py - 2025-12-27 21:07:57,751 - step: 11, loss: 290.4726867675781
INFO - anneal_runner.py - 2025-12-27 21:07:58,264 - step: 12, loss: 268.0151672363281
INFO - anneal_runner.py - 2025-12-27 21:07:58,780 - step: 13, loss: 266.80865478515625
INFO - anneal_runner.py - 2025-12-27 21:07:59,294 - step: 14, loss: 268.6278381347656
INFO - anneal_runner.py - 2025-12-27 21:07:59,808 - step: 15, loss: 268.484375
INFO - anneal_runner.py - 2025-12-27 21:08:00,322 - step: 16, loss: 264.85308837890625
INFO - anneal_runner.py - 2025-12-27 21:08:00,843 - step: 17, loss: 255.56146240234375
INFO - anneal_runner.py - 2025-12-27 21:08:01,357 - step: 18, loss: 270.5835876464844
INFO - anneal_runner.py - 2025-12-27 21:08:01,876 - step: 19, loss: 254.91139221191406
INFO - anneal_runner.py - 2025-12-27 21:08:02,391 - step: 20, loss: 264.71038818359375
INFO - anneal_runner.py - 2025-12-27 21:08:02,908 - step: 21, loss: 268.32110595703125
INFO - anneal_runner.py - 2025-12-27 21:08:03,421 - step: 22, loss: 259.6263732910156
INFO - anneal_runner.py - 2025-12-27 21:08:03,937 - step: 23, loss: 265.34954833984375
INFO - anneal_runner.py - 2025-12-27 21:08:04,455 - step: 24, loss: 252.84735107421875
INFO - anneal_runner.py - 2025-12-27 21:08:04,974 - step: 25, loss: 268.5062255859375
INFO - anneal_runner.py - 2025-12-27 21:08:05,489 - step: 26, loss: 273.3969421386719
INFO - anneal_runner.py - 2025-12-27 21:08:06,009 - step: 27, loss: 261.5799560546875
INFO - anneal_runner.py - 2025-12-27 21:08:06,525 - step: 28, loss: 247.5209503173828
INFO - anneal_runner.py - 2025-12-27 21:08:07,045 - step: 29, loss: 252.78338623046875
INFO - anneal_runner.py - 2025-12-27 21:08:07,564 - step: 30, loss: 242.57261657714844
INFO - anneal_runner.py - 2025-12-27 21:08:08,082 - step: 31, loss: 233.47003173828125
INFO - anneal_runner.py - 2025-12-27 21:08:08,602 - step: 32, loss: 240.3116455078125
INFO - anneal_runner.py - 2025-12-27 21:08:09,119 - step: 33, loss: 232.47567749023438
INFO - anneal_runner.py - 2025-12-27 21:08:09,641 - step: 34, loss: 217.5523681640625
INFO - anneal_runner.py - 2025-12-27 21:08:10,159 - step: 35, loss: 239.70709228515625
INFO - anneal_runner.py - 2025-12-27 21:08:10,679 - step: 36, loss: 220.4512939453125
INFO - anneal_runner.py - 2025-12-27 21:08:11,200 - step: 37, loss: 256.9779052734375
INFO - anneal_runner.py - 2025-12-27 21:08:11,720 - step: 38, loss: 239.64871215820312
INFO - anneal_runner.py - 2025-12-27 21:08:12,241 - step: 39, loss: 225.37548828125
INFO - anneal_runner.py - 2025-12-27 21:08:12,770 - step: 40, loss: 240.58514404296875
INFO - anneal_runner.py - 2025-12-27 21:08:13,292 - step: 41, loss: 229.52471923828125
INFO - anneal_runner.py - 2025-12-27 21:08:13,816 - step: 42, loss: 225.976318359375
INFO - anneal_runner.py - 2025-12-27 21:08:14,338 - step: 43, loss: 214.85214233398438
INFO - anneal_runner.py - 2025-12-27 21:08:14,866 - step: 44, loss: 220.79148864746094
